  -12.7635946       1.00000000    
  -11.4200583       1.00000000    
  -10.0765219       7.00000000    
  -8.73298550       13.0000000    
  -7.38944912       11.0000000    
  -6.04591274       23.0000000    
  -4.70237637       27.0000000    
  -3.35883999       31.0000000    
  -2.01530361       37.0000000    
 -0.671767414       47.0000000    
  0.671768844       29.0000000    
   2.01530504       36.0000000    
   3.35884142       28.0000000    
   4.70237780       23.0000000    
   6.04591417       17.0000000    
   7.38945055       11.0000000    
   8.73298645       2.00000000    
   10.0765228       3.00000000    
   11.4200592       1.00000000    
   12.7635956       1.00000000    
