  -23.8021832       0.00000000    
  -21.2966900       0.00000000    
  -18.7911968       0.00000000    
  -16.2857037       2.00000000    
  -13.7802105       5.00000000    
  -11.2747173       11.0000000    
  -8.76922417       20.0000000    
  -6.26373100       28.0000000    
  -3.75823784       46.0000000    
  -1.25274503       58.0000000    
   1.25274789       49.0000000    
   3.75824070       43.0000000    
   6.26373386       32.0000000    
   8.76922703       23.0000000    
   11.2747202       12.0000000    
   13.7802134       13.0000000    
   16.2857056       3.00000000    
   18.7911987       1.00000000    
   21.2966919       1.00000000    
   23.8021851       1.00000000    
